SD,owop,owgp,gwgp,gwop,county
1993-01-01,2870670.0,3092167.0,119033.0,340.0,ANDREWS
1993-02-01,2593763.0,2922031.0,107237.0,405.0,ANDREWS
1993-03-01,2872149.0,3230237.0,129972.0,404.0,ANDREWS
1993-04-01,2769823.0,3125806.0,132205.0,336.0,ANDREWS
1993-05-01,2823623.0,3213371.0,136800.0,159.0,ANDREWS
1993-06-01,2742669.0,3194382.0,158224.0,213.0,ANDREWS
1993-07-01,2803378.0,3330290.0,175040.0,115.0,ANDREWS
1993-08-01,2824069.0,3256231.0,176999.0,184.0,ANDREWS
1993-09-01,2764288.0,3327670.0,170824.0,193.0,ANDREWS
1993-10-01,2870252.0,3365725.0,169117.0,324.0,ANDREWS
1993-11-01,2773839.0,3178330.0,149522.0,312.0,ANDREWS
1993-12-01,2875484.0,3246406.0,160480.0,345.0,ANDREWS
1994-01-01,2849788.0,3297837.0,124958.0,369.0,ANDREWS
1994-02-01,2564768.0,3104824.0,107102.0,290.0,ANDREWS
1994-03-01,2848546.0,3596178.0,149224.0,190.0,ANDREWS
1994-04-01,2737731.0,3457650.0,138793.0,215.0,ANDREWS
1994-05-01,2791465.0,3305036.0,123412.0,148.0,ANDREWS
1994-06-01,2673443.0,3671598.0,108732.0,263.0,ANDREWS
1994-07-01,2720492.0,3523376.0,104206.0,218.0,ANDREWS
1994-08-01,2728774.0,3635681.0,83598.0,213.0,ANDREWS
1994-09-01,2627663.0,3366888.0,125592.0,245.0,ANDREWS
1994-10-01,2725633.0,3457587.0,117116.0,379.0,ANDREWS
1994-11-01,2635882.0,3315396.0,100943.0,169.0,ANDREWS
1994-12-01,2728629.0,3321555.0,91072.0,280.0,ANDREWS
1995-01-01,2691393.0,3202573.0,106868.0,425.0,ANDREWS
1995-02-01,2439299.0,3068191.0,99916.0,372.0,ANDREWS
1995-03-01,2711650.0,3533391.0,106557.0,273.0,ANDREWS
1995-04-01,2612140.0,3276613.0,97830.0,280.0,ANDREWS
1995-05-01,2639406.0,3461588.0,105484.0,435.0,ANDREWS
1995-06-01,2544108.0,3324001.0,103281.0,413.0,ANDREWS
1995-07-01,2647408.0,3636422.0,109267.0,642.0,ANDREWS
1995-08-01,2680190.0,3516233.0,106315.0,388.0,ANDREWS
1995-09-01,2582508.0,3388802.0,98996.0,377.0,ANDREWS
1995-10-01,2704106.0,3535581.0,97962.0,424.0,ANDREWS
1995-11-01,2635824.0,3259406.0,99909.0,487.0,ANDREWS
1995-12-01,2693496.0,3297061.0,103519.0,458.0,ANDREWS
1996-01-01,2675335.0,3205224.0,94995.0,768.0,ANDREWS
1996-02-01,2501844.0,2936766.0,88258.0,716.0,ANDREWS
1996-03-01,2678900.0,3288738.0,98338.0,1010.0,ANDREWS
1996-04-01,2557286.0,3237130.0,115144.0,632.0,ANDREWS
1996-05-01,2607962.0,3358531.0,118861.0,562.0,ANDREWS
1996-06-01,2484122.0,3321259.0,108380.0,527.0,ANDREWS
1996-07-01,2562504.0,3444348.0,131778.0,715.0,ANDREWS
1996-08-01,2575468.0,3483868.0,151578.0,535.0,ANDREWS
1996-09-01,2506598.0,3434402.0,166721.0,540.0,ANDREWS
1996-10-01,2604017.0,3221586.0,238112.0,994.0,ANDREWS
1996-11-01,2513647.0,2961867.0,263485.0,770.0,ANDREWS
1996-12-01,2575500.0,3105223.0,180558.0,656.0,ANDREWS
1997-01-01,2548203.0,3075705.0,240023.0,1015.0,ANDREWS
1997-02-01,2397241.0,2766349.0,218098.0,602.0,ANDREWS
1997-03-01,2632253.0,3212647.0,254574.0,670.0,ANDREWS
